userId,movieId,rating,timestamp
288,1920,3.0,978469581
414,33826,2.5,1158355443
590,1690,2.0,1258421609
167,296,3.0,1154723095
509,7090,3.5,1435993566
433,5299,5.0,1506823986
449,1222,3.0,1053200179
117,47,4.0,844162892
186,1391,4.0,1031080176
249,318,4.5,1346758076
279,152077,3.0,1506395003
477,4306,4.0,1200939854
434,1222,5.0,1270603899
64,1217,5.0,1161531086
91,2355,3.5,1112713442
307,2516,1.0,1186087869
43,609,5.0,848994863
534,101142,4.0,1459787998
66,480,3.0,1104643911
414,6373,2.5,1103335744
599,135787,3.5,1519127927
427,5108,3.0,1053070842
448,103235,3.5,1431811714
599,87,0.5,1519184941
326,67255,5.0,1436898530
474,1423,4.0,1238350606
536,261,5.0,832839938
480,8937,3.5,1179161863
484,4734,4.0,1342297494
371,2571,5.0,1407692313
221,410,2.0,1111175940
198,442,4.0,1034138236
96,3555,3.0,964773602
474,3489,4.0,1046886494
274,2136,3.0,1171830457
123,109487,4.5,1447291938
385,224,4.0,834693485
603,2600,5.0,953926351
68,64997,2.5,1230497715
560,40819,4.0,1469648888
141,1198,3.0,1513129799
167,353,5.0,1154718746
554,912,5.0,944901161
314,852,3.0,843469800
376,590,3.5,1364958528
426,3911,2.0,1451081803
247,54997,3.0,1467681657
475,135133,4.0,1498031436
608,196,3.0,1117408480
599,3213,2.5,1498518380
560,6541,3.0,1469650447
608,173,3.0,1117408473
149,780,3.0,902084966
313,5040,4.0,1030475505
331,164179,2.5,1537158234
116,2657,3.0,1337200381
480,880,3.5,1179159617
382,91660,2.0,1515174811
586,539,3.5,1529899992
484,93320,5.0,1342296115
401,152081,4.0,1510449426
181,132,3.0,845470661
534,2985,4.5,1459787997
608,1801,3.0,1117505191
599,1240,3.5,1498501551
577,2942,2.0,945978570
599,1171,3.0,1498523415
11,1100,3.0,902154621
256,5944,4.0,1446580886
352,32587,3.0,1493674082
587,2997,4.0,953137847
249,26686,2.5,1365264027
220,589,5.0,1230055442
581,109487,4.5,1447007301
182,6564,0.5,1063646207
474,1240,4.0,1111412847
414,1215,4.0,961438352
290,1834,4.0,974938617
479,3111,5.0,1039367332
382,1722,3.5,1515173463
414,46559,3.5,1168551566
402,1084,5.0,849598337
573,8641,5.0,1341797599
362,1617,4.0,1530637301
600,5064,1.5,1237764418
91,8501,4.0,1112717695
215,2028,3.0,1260908651
393,77561,4.0,1430507736
480,6484,2.5,1179166037
57,2723,3.0,965798373
215,55451,3.5,1260909197
83,4975,4.0,1333843303
226,1580,3.5,1095662736
113,46,3.0,980051838
480,6874,4.0,1179162511
68,55253,4.0,1240092963
274,32596,2.5,1171827715
115,364,4.0,944950805
274,4886,3.5,1171409974
534,56171,3.5,1459795438
249,101525,4.0,1385396765
580,45499,4.5,1176756067
18,296,4.0,1455050745
57,1304,5.0,965796238
219,7373,3.0,1195335001
298,102125,3.0,1447584976
427,5574,2.0,1053071341
346,2395,4.0,1125858176
599,55167,4.0,1498499319
448,107945,2.0,1442162036
608,3484,3.0,1117506705
474,4084,2.0,1015352846
411,368,4.0,835532965
401,78499,3.5,1510449868
606,2732,4.5,1171328254
608,5218,4.0,1147794876
307,1889,3.0,1186173028
474,5812,4.5,1087831483
215,3147,4.0,1260909340
294,2005,3.0,966633881
414,1380,3.0,961514273
6,637,4.0,845555046
275,1300,5.0,1049078349
599,1958,3.0,1519140568
317,104879,5.0,1430513659
301,48780,5.0,1211378779
605,2870,3.5,1277097222
507,150,3.0,838964550
380,34162,3.0,1493419963
417,49530,4.0,1529283962
